Spectrum Version: 5.31,,,,,,,,,,,,,,
country,module,indicator,configuration,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cambodia,AIDS (AIM),PLHIV not on ART,All ages,45792.34827,38631.27,31392.43,26937.49,22520.84,19065.01,16307.72,13959.06,11738.37,9764.9,7852.71
Cameroon,AIDS (AIM),PLHIV not on ART,All ages,533251.51,530642.97,524804.79,520616.51,519170.12,478158.54,403647.98,340290.66,272877.28,199824.79,120348.38
DRC,AIDS (AIM),PLHIV not on ART,All ages,408560.17,397514.42,387789.49,373902.55,356286.51,307093.38,281969.35,254138.92,224376.23,192551.22,157979.47
Haiti,AIDS (AIM),PLHIV not on ART,All ages,110689.68,106284.65,99455.67,90550.65,82481.76,75312.48,66380.46,56590.7,45844.23,41070.38,36347.88
Malawi,AIDS (AIM),PLHIV not on ART,All ages,824299.17,767466.38,692191.84,624044.4,561877.43,487363.45,411402.07,344939.34,290713.16,246503.63,214267.17
Morocco,AIDS (AIM),PLHIV not on ART,All ages,22633.713,22797.71445,22578.13036,22216.11763,21979.78005,21299.49648,20226.79126,19467.85589,18221.03,17590.66,17193.4
Myanmar,AIDS (AIM),PLHIV not on ART,All ages,198721.4036,185426.3024,169961.52,153728.29,140024.13,120670.85,102957.6,96048.79,92341.56,88585.94,84772.22
Nigeria,AIDS (AIM),PLHIV not on ART,All ages,2954620.82,2927343.73,2867324.01,2787355.14,2698485.81,2206393.54,2079808.16,1936968.66,1786508.12,1628021.63,1459935.66
Pakistan,AIDS (AIM),PLHIV not on ART,All ages,41743.74209,50518.21,61272.03,74004.29,89170.16,107667.58,124123.88,143348.65,165824.99,191723.82,221382.5
South Africa,AIDS (AIM),PLHIV not on ART,All ages,5509134.43,5086867.21,4518828.78,4131388.01,3927994.02,2444773.32,2194282.71,2103592.12,2037960.85,1981695.72,1938419.28
South Sudan,AIDS (AIM),PLHIV not on ART,All ages,164443.62,170967.35,176886.94,181509.15,184150.6,186868.27,190172.28,191585.64,193070.62,195690.96,197817.89
Thailand,AIDS (AIM),PLHIV not on ART,All ages,300570.98,272087.05,238575.01,213930.83,185236.29,163150.1,154068.42,144126.68,133945.13,123975.54,114304.06
Uganda,AIDS (AIM),PLHIV not on ART,All ages,1008944.23,1026343.68,990731.94,912348.56,814577.25,764042.62,718669.76,662774.21,599813.66,528538.82,448519.97
Viet Nam,AIDS (AIM),PLHIV not on ART,All ages,183180.1829,179825.3183,174707.5778,168728.27,162221.72,155361.7,150134.71,147228.01,144518.43,141299.77,138003.98
Zambia,AIDS (AIM),PLHIV not on ART,All ages,717157.73,682185.92,645460.88,596943.56,536114.49,465510.31,387689.54,312655.38,247242.85,199516.22,160427.6
Zimbabwe,AIDS (AIM),PLHIV not on ART,All ages,1110538.92,1016211.71,952294.15,898508.44,823590.12,586635.41,496470.6,470433.91,454158.05,439934.75,427322.71
Mozambique,AIDS (AIM),PLHIV not on ART,All ages,1225315.479,1210756.01,1192094.41,1105386.13,974763.17,869183.12,828401.08,764898.2,682000.52,655221.99,640027.93
Kenya,AIDS (AIM),PLHIV not on ART,All ages,909887.1653,805714.5621,747724.8312,719188.4035,656629.8088,592892.191,535287.2472,478333.4497,427622.8366,382115.91,345541.09
