Spectrum Version: 5.31,,,,,,,,,,,,,,
country,module,indicator,configuration,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cambodia,AIDS (AIM),PLHIV,Total Region; Male+Female,83798,81148,78917,76739,74610,72647,70754,69036,67390,65882,64480
Cameroon,AIDS (AIM),PLHIV,Total Region; Male+Female,616030,628176,639046,649536,657457,666528,683387,703077,725537,748948,772755
DRC,AIDS (AIM),PLHIV,Total Region; Male+Female,447793,447773,447584,447331,446624,452531,461491,469966,479238,489636,500640
Haiti,AIDS (AIM),PLHIV,Total Region; Male+Female,138283,138322,138533,139548,141270,143707,146288,148948,151536,153947,156195
Malawi,AIDS (AIM),PLHIV,Total Region; Male+Female,1049024,1054615,1056400,1060072,1063914,1064848,1065491,1062820,1059534,1055924,1051913
Morocco,AIDS (AIM),PLHIV,Total Region; Male+Female,25452,26299,27093,27909,28740,29532,30349,31185,32011,32879,33630
Myanmar,AIDS (AIM),PLHIV,Total Region; Male+Female,224179,220367,216845,214378,212560,210048,207688,204630,200870,196487,191671
Nigeria,AIDS (AIM),PLHIV,Total Region; Male+Female,3285336,3322335,3350248,3373779,3391546,3442347,3493278,3537467,3577548,3615328,3652608
Pakistan,AIDS (AIM),PLHIV,Total Region; Male+Female,43356,52774,64105,77729,93925,113141,137351,167766,206052,254126,314645
South Africa,AIDS (AIM),PLHIV,Total Region; Male+Female,6283521,6359575,6498561,6669158,6836484,7012101,7148527,7273531,7397563,7519232,7642254
South Sudan,AIDS (AIM),PLHIV,Total Region; Male+Female,166478,173911,180980,187367,193388,198386,202165,205258,208507,211699,214313
Thailand,AIDS (AIM),PLHIV,Total Region; Male+Female,493082,481576,469806,457496,445642,436063,426294,415764,405003,394310,383991
Uganda,AIDS (AIM),PLHIV,Total Region; Male+Female,1241512,1313204,1366555,1429517,1486642,1548413,1616088,1685812,1757645,1830745,1905272
Viet Nam,AIDS (AIM),PLHIV,Total Region; Male+Female,227112,234954,241532,246418,250196,253892,256930,258415,258656,258042,256887
Zambia,AIDS (AIM),PLHIV,Total Region; Male+Female,1031240,1062195,1093770,1122687,1150371,1177617,1205532,1234664,1264587,1294415,1323148
Zimbabwe,AIDS (AIM),PLHIV,Total Region; Male+Female,1403082,1440075,1477549,1514324,1550250,1588987,1622324,1649472,1672798,1690612,1702026
Mozambique,AIDS (AIM),PLHIV,Total Region; Male+Female,1419837,1456951,1483791,1509559,1543011,1587252,1640161,1688815,1738689,1787471,1833774
Kenya,AIDS (AIM),PLHIV,Total Region; Male+Female,1297962,1307586,1327788,1349352,1367532,1395401,1425879,1459890,1494512,1531331,1571184
