country,prop.Off.ART.500,prop.Off.ART.350500,prop.Off.ART.250350,prop.Off.ART.200250,prop.Off.ART.100200,prop.Off.ART.50100,prop.Off.ART.50,prop.On.ART.500,prop.On.ART.350500,prop.On.ART.250350,prop.On.ART.200250,prop.On.ART.100200,prop.On.ART.50100,prop.On.ART.50
Cambodia,0.26371906,0.352552163,0.198234675,0.085135099,0.07598456,0.017275353,0.00709909,0,0,0.048610866,0.030853956,0.616090656,0.175839305,0.128605218
Cameroon,0.364729403,0.31406751,0.158215665,0.079557144,0.060630336,0.017085443,0.005714498,0,0,0.070660548,0.046903839,0.516043822,0.227153428,0.139238363
Democratic Republic of the Congo,0.348515538,0.300474758,0.167202201,0.088175343,0.067493347,0.020399516,0.007739297,0,0,0,0,0.5516522,0.261669709,0.186678091
Haiti,0.350150765,0.308971952,0.16572794,0.087523468,0.064902998,0.017397736,0.005325141,0,0,0.069800721,0.0499258,0.51240195,0.226203095,0.141668433
Kenya,0.375898525,0.331292049,0.166853358,0.070764672,0.043505857,0.009503828,0.00218171,0.00438979,0.004145198,0.106410574,0.249287946,0.365845887,0.166908577,0.103012027
Malawi,0.364387512,0.318422038,0.184384485,0.073036509,0.046352636,0.010856455,0.002560365,0.055257676,0.048891272,0.029255876,0.30115002,0.319072095,0.15389688,0.09247618
Morocco,0.380020201,0.319224665,0.153143187,0.073541436,0.053965658,0.015054591,0.005050262,0,0,0.072115385,0.045192308,0.551442308,0.214423077,0.116826923
Mozambique,0.379477773,0.323980409,0.170500056,0.068101035,0.042496735,0.01146027,0.003983722,0,0,0,0.200989665,0.584512158,0.144748746,0.069749431
Myanmar,0.327733113,0.258479126,0.129533374,0.09511472,0.12286653,0.034653703,0.031619434,0,0,0.057502954,0.04796289,0.424926699,0.218502473,0.251104984
Nigeria,0.359840949,0.312141898,0.159995875,0.08046408,0.062703378,0.01833081,0.006523009,0.002513514,0.002263885,0.074759839,0.049168474,0.495106394,0.227580656,0.148607238
Pakistan,0.45540797,0.350188417,0.110831975,0.043883796,0.028890611,0.008017746,0.002779485,0,0,0.357379768,0.184079602,0.233830846,0.126865672,0.097844113
South Africa,0.357337791,0.313890853,0.159910384,0.080518221,0.063884241,0.018401985,0.006056525,0,0,0.097499927,0.06329591,0.484775242,0.216939533,0.137489388
South Sudan,0.367001302,0.310829007,0.153166564,0.075285387,0.063518305,0.020953336,0.009246099,0,0,0.146871009,0.089399745,0.390166028,0.204980843,0.168582375
Thailand,0.245591355,0.317095813,0.229177339,0.137961623,0.054880711,0.01239131,0.002901849,0,0,0,0,0.726105275,0.186661665,0.08723306
Uganda,0.408569322,0.330960109,0.157058849,0.059154539,0.032504932,0.00834368,0.003408568,0.024345162,0.019496386,0.009229133,0.220081277,0.462076998,0.174676221,0.090094823
United Republic of Tanzania,0.355869914,0.311893337,0.176565073,0.093540451,0.044828498,0.012320314,0.004982413,0,0,0,0,0.706050894,0.209292444,0.084656663
Viet Nam,0.335802414,0.362123781,0.139198144,0.058923273,0.069108231,0.016080632,0.018763526,0,0,0.084138743,0.035568856,0.317593092,0.221164696,0.341534612
Zambia,0.403194268,0.351197636,0.148085845,0.064710127,0.028244957,0.004048249,0.000518918,0,0,0.141776183,0.104508448,0.56679329,0.129831734,0.057090344
Zimbabwe,0.359126832,0.315437562,0.180847621,0.096825395,0.039988747,0.006575404,0.001198439,0.034253262,0.030843794,0.019198081,0.012433657,0.543121348,0.228543394,0.131606464
