country,less200,less250,less350,less500,more500
Brazil,1996,2010,2010,2012,2014
Cambodia,2003,2003,2010,2015,NA
Cameroon,2003,2003,2014,2014,NA
Cote d'Ivoire,2003,2013,2013,NA,NA
DRC,2003,2013,2013,2013,NA
Ethiopia,2002,2006,2006,2013,NA
Haiti,2010,2010,2010,2014,NA
India,2010,2010,NA,NA,NA
Indonesia,2010,2010,NA,NA,NA
Jamaica,2004,2006,2006,NA,NA
Kenya,2004,2011,2011,2014,2016
Malawi,2003,2003,2011,2014,NA
Morocco,2005,2010,2010,2014,NA
Mozambique,2001,2009,2014,NA,NA
Myanmar,2003,2010,2010,2014,NA
Nigeria,2003,2010,2010,2014,NA
Pakistan,2005,2015,2015,2015,NA
Philippines,2005,2015,2015,2015,NA
Russia,NA,NA,NA,NA,NA
South Africa,2004,2012,2012,2015,NA
South Sudan,2007,2011,2011,2014,NA
Thailand,2010,2010,2010,2014,2014
Uganda,2000,2008,2008,2013,NA
Ukraine,2007,2015,2015,NA,NA
Vietnam,2005,2011,2011,NA,NA
Zimbabwe,2003,2010,2010,2013,NA
Tanzania,2009,2012,2012,2015,NA
