country,less200_4,less200_3,less200_2,less200_1,less250_4,less250_3,less_250_2,less_250_1,less350_4,less350_3,less350_2,less350_1,less500_4,less500_3,less500_2,less500_1,more500_4,more500_3,more500_2,more_500_1
Brazil,1996,1996,1996,1996,1996,2010,2010,2010,1996,2010,2010,2010,1996,2012,2012,2012,1996,2014,2014,2014
Cambodia,2003,2003,2003,2003,2003,2003,2003,2003,2003,2010,2010,2010,2003,2010,2015,2015,2003,2010,NA,NA
Cameroon,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2014,2014,2003,2014,2014,2014,2003,2014,NA,NA
Cote d'Ivoire,2003,2003,2003,2003,2013,2013,2013,2013,2013,2013,2013,2013,2013,NA,NA,NA,2013,NA,NA,NA
DRC,2003,2003,2003,2003,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,NA,NA
Ethiopia,2002,2002,2002,2002,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2013,2013,2006,2006,NA,NA
Haiti,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2014,2014,2010,2010,NA,NA
India,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,NA,NA,2010,NA,NA,NA,2010,NA,NA,NA
Indonesia,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,NA,NA,2010,2010,NA,NA,2010,2010,NA,NA
Jamaica,2004,2004,2004,2004,2004,2006,2006,2006,2004,2006,2006,2006,2004,2006,NA,NA,2004,2006,NA,NA
Kenya,2004,2004,2004,2004,2004,2011,2011,2011,2004,2011,2011,2011,2004,2011,2014,2014,2004,2011,NA,NA
Malawi,2003,2003,2003,2003,2003,2003,2003,2003,2003,2011,2011,2011,2003,2011,2014,2014,2003,2011,NA,NA
Morocco,2005,2005,2005,2005,2005,2010,2010,2010,2005,2010,2010,2010,2005,2010,2014,2014,2005,2010,NA,NA
Mozambique,2001,2001,2001,2001,2001,2009,2009,2009,2001,2014,2014,2014,2001,2014,NA,NA,2001,2014,NA,NA
Myanmar,2003,2003,2003,2003,2003,2010,2010,2010,2003,2010,2010,2010,2003,2010,2014,2014,2003,2010,NA,NA
Nigeria,2003,2003,2003,2003,2003,2010,2010,2010,2003,2010,2010,2010,2003,2010,2014,2014,2003,2010,NA,NA
Pakistan,2005,2005,2005,2005,2005,2005,2015,2015,2005,2005,2015,2015,2005,2015,2015,2015,2005,2015,NA,NA
Philippines,2005,2005,2005,2005,2005,2005,2015,2015,2005,2005,2015,2015,2005,2015,2015,2015,2005,2015,NA,NA
Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,2004,2004,2004,2004,2004,2012,2012,2012,2004,2012,2012,2012,2004,2012,2015,2015,2004,2012,NA,NA
South Sudan,2007,2007,2007,2007,2007,2011,2011,2011,2007,2011,2011,2011,2007,2011,2014,2014,2007,2011,NA,NA
Thailand,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2014,2014,2010,2010,2014,2014
Uganda,2000,2000,2000,2000,2000,2008,2008,2008,2000,2008,2008,2008,2000,2008,2013,2013,2000,2008,NA,NA
Ukraine,2007,2007,2007,2007,2007,2015,2015,2015,2007,2015,2015,2015,2007,2015,NA,NA,2007,2015,NA,NA
Vietnam,2005,2005,2005,2005,2005,2005,2011,2011,2005,2005,2011,2011,2005,2011,NA,NA,2005,2011,NA,NA
Zimbabwe,2003,2003,2003,2003,2003,2010,2010,2010,2003,2010,2010,2010,2003,2010,2013,2013,2003,2010,NA,NA
