country,prop.Off.ART.500,prop.Off.ART.350500,prop.Off.ART.250350,prop.Off.ART.200250,prop.Off.ART.100200,prop.Off.ART.50100,prop.Off.ART.50,prop.On.ART.500,prop.On.ART.350500,prop.On.ART.250350,prop.On.ART.200250,prop.On.ART.100200,prop.On.ART.50100,prop.On.ART.50
Cambodia,0.279252971,0.349541596,0.188251273,0.076604414,0.078573854,0.019558574,0.008217317,0.047855828,0.064723497,0.117606659,0.07128925,0.446086646,0.143457597,0.108980523
Cameroon,0.371812777,0.307915163,0.157646479,0.075405623,0.06347966,0.018122582,0.005617715,0.130144917,0.149324538,0.161198639,0.110389838,0.233664339,0.1293098,0.085967929
Democratic Republic of the Congo,0.383887295,0.314904725,0.160413182,0.074745094,0.051699299,0.011731466,0.002618938,0.094643355,0.123567504,0.165019677,0.116312412,0.270170408,0.140310025,0.089976618
Haiti,0.436280286,0.316330648,0.143209956,0.060483285,0.035108392,0.007134671,0.001452761,0.028415348,0.135469523,0.202729255,0.133245525,0.292013042,0.13173407,0.076393237
Kenya,0.436389236,0.321002609,0.141081564,0.056611708,0.035270391,0.007782541,0.001861952,0.07780654,0.11304476,0.238703388,0.195633724,0.225103218,0.093872469,0.0558359
Malawi,0.41492859,0.320492624,0.154504231,0.065907437,0.036232954,0.006604966,0.001329198,0.120511486,0.160758928,0.200208248,0.192109154,0.200994091,0.084984013,0.04043408
Morocco,0.388638833,0.322210151,0.152879094,0.069429355,0.049769776,0.013192612,0.00388018,0.067040026,0.111843189,0.205073299,0.128479657,0.284631856,0.128644375,0.074287597
Mozambique,0.447971833,0.383395168,0.114051452,0.033385222,0.016079827,0.003890932,0.001225567,0.075539568,0.065144401,0.268630587,0.213109226,0.269098656,0.074514978,0.033962584
Myanmar,0.386031905,0.275427358,0.131918918,0.084552657,0.087826987,0.020297277,0.013944898,0,0.071069697,0.165107347,0.133803438,0.324913429,0.156481773,0.148624315
Nigeria,0.439088665,0.30992612,0.14359867,0.061005556,0.036452227,0.008074273,0.001854488,0.010327662,0.173833626,0.218395315,0.144369381,0.262432329,0.120637546,0.070004141
Pakistan,0.449915269,0.34304012,0.115015543,0.047106158,0.032093734,0.009304792,3.52E-03,0.012033399,0.214145383,0.273084479,0.147347741,0.17608055,0.099950884,0.077357564
South Africa,0.641740238,0.284637601,0.06118466,0.010534017,0.001774259,0.000120872,8.35E-06,0.047211132,0.236327362,0.291100951,0.150993547,0.177412157,0.066548553,0.030406299
South Sudan,0.362920063,0.304739551,0.154660425,0.077523039,0.067542588,0.022627232,0.009987101,0.077156177,0.174825175,0.184731935,0.122144522,0.198601399,0.127505828,0.115034965
Thailand,0.275918682,0.348791879,0.19068301,0.093052158,0.068314125,0.018131631,0.005108515,0.018597858,0.020235461,0.110007082,0.081689829,0.56881473,0.141236611,0.05941843
Uganda,0.473867298,0.332740087,0.126890875,0.044252612,0.018882995,0.002908124,0.00045801,0.140181193,0.213184137,0.175250776,0.177599387,0.201142736,0.063006604,0.029635167
Viet Nam,0.333960533,0.362264301,0.142722268,0.057764421,0.054739236,0.018869179,0.029680062,0.029578309,0.031088313,0.197277552,0.079608287,0.266215886,0.181722293,0.21450936
Zambia,0.505234737,0.337812262,0.106008021,0.033861962,0.01473171,0.002107526,0.000243781,0.053347079,0.134075381,0.309689532,0.142726784,0.267644027,0.065124325,0.027392872
Zimbabwe,0.54330033,0.30085657,0.108001001,0.03056947,0.01367987,0.00273469,0.000858068,0.071993797,0.200185614,0.233815204,0.14163489,0.225287317,0.085039884,0.042043294
Brazil,0.4312,0.3201,0.1398,0.0758,0.0271,0.0047,0.0013,0.035,0.1244,0.0989,0.1292,0.5087,0.0816,0.0223
China,0.4426,0.3187,0.138,0.0592,0.034,0.0066,0.0009,0.0002,0.1682,0.2455,0.1546,0.2443,0.1186,0.0686
Ethiopia,0.4595,0.2884,0.1475,0.0651,0.0334,0.0053,0.0008,0.0185,0.1013,0.1094,0.0867,0.474,0.1413,0.0689
India,0.4604,0.2058,0.1118,0.0533,0.0693,0.0275,0.0718,0,0,0.1029,0.1089,0.2891,0.134,0.3651
Morocco,0.3886,0.3222,0.1529,0.0694,0.0498,0.0132,0.0039,0.067,0.1118,0.2051,0.1285,0.2846,0.1286,0.0743
Russian Federation,0.3924,0.3203,0.1466,0.0689,0.051,0.0152,0.0056,0,0.1316,0.0794,0.2598,0.2931,0.1425,0.0936
Ukraine,0.3414,0.3164,0.1638,0.0807,0.0678,0.0216,0.0083,0.0162,0.014,0.2748,0.1709,0.2599,0.1488,0.1154
Tanzania,0.435417647,0.383882936,0.124937566,0.039253828,0.014380889,0.001882984,0.00024415,0.042543953,0.038313639,0.251494167,0.155507183,0.353038773,0.111821747,0.047280539
